,AÑO,INEGI,NOM_ENTDIAD,NOM_MUNICIPIO,MODALIDAD,SUBTIPO_CRIMEN,ID_ENTIDAD,ID_MUNICIPIO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_ROBOS_AÑO,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO
360,2017,11041,GUANAJUATO,URIANGATO,ROBO COMUN,A NEGOCIO,11,41,2.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,14.0,11041,11,41,Uriangato
2126,2017,30045,VERACRUZ,COSAMALOAPAN DE CARPIO,ROBO COMUN,A NEGOCIO,30,45,1.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,14.0,30045,30,45,Cosamaloapan de Carpio
554,2017,14024,JALISCO,COCULA,ROBO COMUN,A NEGOCIO,14,24,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,0.0,1.0,1.0,14.0,14024,14,24,Cocula
530,2017,13084,HIDALGO,ZIMAPAN,ROBO COMUN,A NEGOCIO,13,84,0.0,0.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,14.0,13084,13,84,Zimapán
1011,2017,20014,OAXACA,CIUDAD IXTEPEC,ROBO COMUN,A NEGOCIO,20,14,1.0,0.0,0.0,1.0,3.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,14.0,20014,20,14,Ciudad Ixtepec
984,2017,19038,NUEVO LEON,MONTEMORELOS,ROBO COMUN,A NEGOCIO,19,38,2.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,14.0,19038,19,38,Montemorelos
612,2017,14082,JALISCO,SAYULA,ROBO COMUN,A NEGOCIO,14,82,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,13.0,14082,14,82,Sayula
555,2017,14025,JALISCO,COLOTLAN,ROBO COMUN,A NEGOCIO,14,25,0.0,0.0,1.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0,0.0,13.0,14025,14,25,Colotlán
3,2017,1004,AGUASCALIENTES,COSIO,ROBO COMUN,A NEGOCIO,1,4,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,13.0,01004,1,4,Cosío
166,2017,7087,CHIAPAS,SUCHIATE,ROBO COMUN,A NEGOCIO,7,87,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,13.0,07087,7,87,Suchiate
116,2017,7037,CHIAPAS,HUEHUETAN,ROBO COMUN,A NEGOCIO,7,37,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,13.0,07037,7,37,Huehuetán
2352,2017,31059,YUCATAN,PROGRESO,ROBO COMUN,A NEGOCIO,31,59,0.0,4.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,13.0,31059,31,59,Progreso
649,2017,14119,JALISCO,ZACOALCO DE TORRES,ROBO COMUN,A NEGOCIO,14,119,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,13.0,14119,14,119,Zacoalco de Torres
856,2017,16076,MICHOACAN,SAHUAYO,ROBO COMUN,A NEGOCIO,16,76,1.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,13.0,16076,16,76,Sahuayo
2214,2017,30133,VERACRUZ,PUEBLO VIEJO,ROBO COMUN,A NEGOCIO,30,133,2.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,30133,30,133,Pueblo Viejo
469,2017,13023,HIDALGO,FRANCISCO I. MADERO,ROBO COMUN,A NEGOCIO,13,23,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,13.0,13023,13,23,Francisco I. Madero
666,2017,15011,MEXICO,ATENCO,ROBO COMUN,A NEGOCIO,15,11,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,13.0,15011,15,11,Atenco
887,2017,16107,MICHOACAN,ZACAPU,ROBO COMUN,A NEGOCIO,16,107,0.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,13.0,16107,16,107,Zacapu
770,2017,15115,MEXICO,XONACATLAN,ROBO COMUN,A NEGOCIO,15,115,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,13.0,15115,15,115,Xonacatlán
1570,2017,21003,PUEBLA,ACATLAN,ROBO COMUN,A NEGOCIO,21,3,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,12.0,21003,21,3,Acatlán
2052,2017,29031,TLAXCALA,TETLA DE LA SOLIDARIDAD,ROBO COMUN,A NEGOCIO,29,31,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,12.0,29031,29,31,Tetla de la Solidaridad
2382,2017,31089,YUCATAN,TICUL,ROBO COMUN,A NEGOCIO,31,89,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,12.0,31089,31,89,Ticul
674,2017,15019,MEXICO,CAPULHUAC,ROBO COMUN,A NEGOCIO,15,19,0.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,12.0,15019,15,19,Capulhuac
91,2017,7012,CHIAPAS,BERRIOZABAL,ROBO COMUN,A NEGOCIO,7,12,2.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,12.0,07012,7,12,Berriozábal
8,2017,1009,AGUASCALIENTES,TEPEZALA,ROBO COMUN,A NEGOCIO,1,9,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,12.0,01009,1,9,Tepezalá
247,2017,8050,CHIHUAHUA,NUEVO CASAS GRANDES,ROBO COMUN,A NEGOCIO,8,50,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,12.0,08050,8,50,Nuevo Casas Grandes
1394,2017,20397,OAXACA,HEROICA CIUDAD DE TLAXIACO,ROBO COMUN,A NEGOCIO,20,397,0.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,20397,20,397,Heroica Ciudad de Tlaxiaco
1808,2017,23006,QUINTANA ROO,JOSE MARIA MORELOS,ROBO COMUN,A NEGOCIO,23,6,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,1.0,1.0,12.0,23006,23,6,José María Morelos
376,2017,12011,GUERRERO,ATOYAC DE ALVAREZ,ROBO COMUN,A NEGOCIO,12,11,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,12.0,12011,12,11,Atoyac de Álvarez
73,2017,6004,COLIMA,COQUIMATLAN,ROBO COMUN,A NEGOCIO,6,4,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,12.0,06004,6,4,Coquimatlán
2394,2017,31101,YUCATAN,UMAN,ROBO COMUN,A NEGOCIO,31,101,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,12.0,31101,31,101,Umán
1,2017,1002,AGUASCALIENTES,ASIENTOS,ROBO COMUN,A NEGOCIO,1,2,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,12.0,01002,1,2,Asientos
1889,2017,25018,SINALOA,NAVOLATO,ROBO COMUN,A NEGOCIO,25,18,1.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,12.0,25018,25,18,Navolato
580,2017,14050,JALISCO,JOCOTEPEC,ROBO COMUN,A NEGOCIO,14,50,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,12.0,14050,14,50,Jocotepec
312,2017,10032,DURANGO,SANTIAGO PAPASQUIARO,ROBO COMUN,A NEGOCIO,10,32,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,11.0,10032,10,32,Santiago Papasquiaro
1918,2017,26029,SONORA,GUAYMAS,ROBO COMUN,A NEGOCIO,26,29,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,0.0,11.0,26029,26,29,Guaymas
233,2017,8036,CHIHUAHUA,JIMENEZ,ROBO COMUN,A NEGOCIO,8,36,0.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,08036,8,36,Jiménez
35,2017,5004,COAHUILA,ARTEAGA,ROBO COMUN,A NEGOCIO,5,4,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,11.0,05004,5,4,Arteaga
990,2017,19044,NUEVO LEON,SABINAS HIDALGO,ROBO COMUN,A NEGOCIO,19,44,1.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,11.0,19044,19,44,Sabinas Hidalgo
1479,2017,20482,OAXACA,SANTIAGO PINOTEPA NACIONAL,ROBO COMUN,A NEGOCIO,20,482,3.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,11.0,20482,20,482,Santiago Pinotepa Nacional
1568,2017,21001,PUEBLA,ACAJETE,ROBO COMUN,A NEGOCIO,21,1,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,11.0,21001,21,1,Acajete
1789,2017,22005,QUERETARO,COLON,ROBO COMUN,A NEGOCIO,22,5,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,11.0,22005,22,5,Colón
2170,2017,30089,VERACRUZ,JALTIPAN,ROBO COMUN,A NEGOCIO,30,89,0.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,11.0,30089,30,89,Jáltipan
462,2017,13016,HIDALGO,CUAUTEPEC DE HINOJOSA,ROBO COMUN,A NEGOCIO,13,16,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,11.0,13016,13,16,Cuautepec de Hinojosa
722,2017,15067,MEXICO,OTZOLOTEPEC,ROBO COMUN,A NEGOCIO,15,67,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,11.0,15067,15,67,Otzolotepec
177,2017,7099,CHIAPAS,LA TRINITARIA,ROBO COMUN,A NEGOCIO,7,99,0.0,1.0,1.0,0.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,07099,7,99,La Trinitaria
747,2017,15092,MEXICO,TEOTIHUACAN,ROBO COMUN,A NEGOCIO,15,92,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,11.0,15092,15,92,Teotihuacán
1003,2017,20006,OAXACA,ASUNCION NOCHIXTLAN,ROBO COMUN,A NEGOCIO,20,6,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,11.0,20006,20,6,Asunción Nochixtlán
1054,2017,20057,OAXACA,MATIAS ROMERO AVENDAÑO,ROBO COMUN,A NEGOCIO,20,57,1.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20057,20,57,Matías Romero Avendaño
701,2017,15046,MEXICO,JILOTZINGO,ROBO COMUN,A NEGOCIO,15,46,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,10.0,15046,15,46,Jilotzingo
755,2017,15100,MEXICO,TEZOYUCA,ROBO COMUN,A NEGOCIO,15,100,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,10.0,15100,15,100,Tezoyuca
1891,2017,26002,SONORA,AGUA PRIETA,ROBO COMUN,A NEGOCIO,26,2,0.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,10.0,26002,26,2,Agua Prieta
2345,2017,31052,YUCATAN,MOTUL,ROBO COMUN,A NEGOCIO,31,52,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,10.0,31052,31,52,Motul
2264,2017,30183,VERACRUZ,TLAPACOYAN,ROBO COMUN,A NEGOCIO,30,183,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,10.0,30183,30,183,Tlapacoyan
1290,2017,20293,OAXACA,SAN PABLO ETLA,ROBO COMUN,A NEGOCIO,20,293,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,10.0,20293,20,293,San Pablo Etla
835,2017,16055,MICHOACAN,MUGICA,ROBO COMUN,A NEGOCIO,16,55,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,10.0,16055,16,55,Múgica
1548,2017,20551,OAXACA,TLACOLULA DE MATAMOROS,ROBO COMUN,A NEGOCIO,20,551,3.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,20551,20,551,Tlacolula de Matamoros
769,2017,15114,MEXICO,VILLA VICTORIA,ROBO COMUN,A NEGOCIO,15,114,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,15114,15,114,Villa Victoria
552,2017,14022,JALISCO,CIHUATLAN,ROBO COMUN,A NEGOCIO,14,22,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,10.0,14022,14,22,Cihuatlán
2128,2017,30047,VERACRUZ,COSCOMATEPEC,ROBO COMUN,A NEGOCIO,30,47,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,10.0,30047,30,47,Coscomatepec
1788,2017,22004,QUERETARO,CADEREYTA DE MONTES,ROBO COMUN,A NEGOCIO,22,4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,10.0,22004,22,4,Cadereyta de Montes
567,2017,14037,JALISCO,EL GRULLO,ROBO COMUN,A NEGOCIO,14,37,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,10.0,14037,14,37,El Grullo
908,2017,17015,MORELOS,MIACATLAN,ROBO COMUN,A NEGOCIO,17,15,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,10.0,17015,17,15,Miacatlán
651,2017,14121,JALISCO,ZAPOTILTIC,ROBO COMUN,A NEGOCIO,14,121,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,10.0,14121,14,121,Zapotiltic
565,2017,14035,JALISCO,ENCARNACION DE DIAZ,ROBO COMUN,A NEGOCIO,14,35,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,10.0,14035,14,35,Encarnación de Díaz
527,2017,13081,HIDALGO,ZACUALTIPAN DE ANGELES,ROBO COMUN,A NEGOCIO,13,81,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,9.0,13081,13,81,Zacualtipán de Ángeles
946,2017,18020,NAYARIT,BAHIA DE BANDERAS,ROBO COMUN,A NEGOCIO,18,20,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,9.0,18020,18,20,Bahía de Banderas
72,2017,6003,COLIMA,COMALA,ROBO COMUN,A NEGOCIO,6,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,9.0,06003,6,3,Comala
644,2017,14114,JALISCO,VILLA CORONA,ROBO COMUN,A NEGOCIO,14,114,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,9.0,14114,14,114,Villa Corona
739,2017,15084,MEXICO,TEMASCALAPA,ROBO COMUN,A NEGOCIO,15,84,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,15084,15,84,Temascalapa
158,2017,7079,CHIAPAS,SAN FERNANDO,ROBO COMUN,A NEGOCIO,7,79,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,9.0,07079,7,79,San Fernando
2152,2017,30071,VERACRUZ,HUATUSCO,ROBO COMUN,A NEGOCIO,30,71,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,30071,30,71,Huatusco
917,2017,17024,MORELOS,TLALTIZAPAN,ROBO COMUN,A NEGOCIO,17,24,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,9.0,17024,17,24,Tlaltizapán de Zapata
1271,2017,20274,OAXACA,SAN MIGUEL PIEDRAS,ROBO COMUN,A NEGOCIO,20,274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,20274,20,274,San Miguel Piedras
175,2017,7097,CHIAPAS,TONALA,ROBO COMUN,A NEGOCIO,7,97,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,9.0,07097,7,97,Tonalá
1410,2017,20413,OAXACA,SANTA MARIA HUATULCO,ROBO COMUN,A NEGOCIO,20,413,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,20413,20,413,Santa María Huatulco
533,2017,14003,JALISCO,AHUALULCO DE MERCADO,ROBO COMUN,A NEGOCIO,14,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,9.0,14003,14,3,Ahualulco de Mercado
180,2017,7102,CHIAPAS,TUXTLA CHICO,ROBO COMUN,A NEGOCIO,7,102,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,9.0,07102,7,102,Tuxtla Chico
673,2017,15018,MEXICO,CALIMAYA,ROBO COMUN,A NEGOCIO,15,18,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,9.0,15018,15,18,Calimaya
358,2017,11039,GUANAJUATO,TARIMORO,ROBO COMUN,A NEGOCIO,11,39,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,11039,11,39,Tarimoro
2095,2017,30014,VERACRUZ,AMATLAN DE LOS REYES,ROBO COMUN,A NEGOCIO,30,14,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,8.0,30014,30,14,Amatlán de los Reyes
69,2017,5038,COAHUILA,ZARAGOZA,ROBO COMUN,A NEGOCIO,5,38,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,8.0,05038,5,38,Zaragoza
37,2017,5006,COAHUILA,CASTAÑOS,ROBO COMUN,A NEGOCIO,5,6,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,05006,5,6,Castaños
766,2017,15111,MEXICO,VILLA DE ALLENDE,ROBO COMUN,A NEGOCIO,15,111,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,8.0,15111,15,111,Villa de Allende
70,2017,6001,COLIMA,ARMERIA,ROBO COMUN,A NEGOCIO,6,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,06001,6,1,Armería
1347,2017,20350,OAXACA,SAN SEBASTIAN TUTLA,ROBO COMUN,A NEGOCIO,20,350,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,8.0,20350,20,350,San Sebastián Tutla
474,2017,13028,HIDALGO,HUEJUTLA DE REYES,ROBO COMUN,A NEGOCIO,13,28,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,8.0,13028,13,28,Huejutla de Reyes
327,2017,11008,GUANAJUATO,MANUEL DOBLADO,ROBO COMUN,A NEGOCIO,11,8,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,11008,11,8,Manuel Doblado
1970,2017,27009,TABASCO,JALAPA,ROBO COMUN,A NEGOCIO,27,9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,8.0,27009,27,9,Jalapa
2333,2017,31040,YUCATAN,IZAMAL,ROBO COMUN,A NEGOCIO,31,40,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,31040,31,40,Izamal
614,2017,14084,JALISCO,TALPA DE ALLENDE,ROBO COMUN,A NEGOCIO,14,84,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,8.0,14084,14,84,Talpa de Allende
890,2017,16110,MICHOACAN,ZINAPECUARO,ROBO COMUN,A NEGOCIO,16,110,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,16110,16,110,Zinapécuaro
1065,2017,20068,OAXACA,OCOTLAN DE MORELOS,ROBO COMUN,A NEGOCIO,20,68,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,8.0,20068,20,68,Ocotlán de Morelos
199,2017,8002,CHIHUAHUA,ALDAMA,ROBO COMUN,A NEGOCIO,8,2,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,8.0,08002,8,2,Aldama
768,2017,15113,MEXICO,VILLA GUERRERO,ROBO COMUN,A NEGOCIO,15,113,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,15113,15,113,Villa Guerrero
1567,2017,20570,OAXACA,ZIMATLAN DE ALVAREZ,ROBO COMUN,A NEGOCIO,20,570,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,20570,20,570,Zimatlán de Álvarez
1398,2017,20401,OAXACA,SANTA MARIA COLOTEPEC,ROBO COMUN,A NEGOCIO,20,401,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,20401,20,401,Santa María Colotepec
1850,2017,24037,SAN LUIS POTOSI,TAMAZUNCHALE,ROBO COMUN,A NEGOCIO,24,37,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,8.0,24037,24,37,Tamazunchale
1937,2017,26048,SONORA,PUERTO PEÑASCO,ROBO COMUN,A NEGOCIO,26,48,1.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,26048,26,48,Puerto Peñasco
728,2017,15073,MEXICO,SAN ANTONIO LA ISLA,ROBO COMUN,A NEGOCIO,15,73,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,8.0,15073,15,73,San Antonio la Isla
849,2017,16069,MICHOACAN,LA PIEDAD,ROBO COMUN,A NEGOCIO,16,69,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,16069,16,69,La Piedad
96,2017,7017,CHIAPAS,CINTALAPA,ROBO COMUN,A NEGOCIO,7,17,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,07017,7,17,Cintalapa de Figueroa
505,2017,13059,HIDALGO,TECOZAUTLA,ROBO COMUN,A NEGOCIO,13,59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,8.0,13059,13,59,Tecozautla
2372,2017,31079,YUCATAN,TEKAX,ROBO COMUN,A NEGOCIO,31,79,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,8.0,31079,31,79,Tekax
718,2017,15063,MEXICO,OCUILAN,ROBO COMUN,A NEGOCIO,15,63,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,15063,15,63,Ocuilan
919,2017,17026,MORELOS,TLAYACAPAN,ROBO COMUN,A NEGOCIO,17,26,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,17026,17,26,Tlayacapan
2262,2017,30181,VERACRUZ,TLALIXCOYAN,ROBO COMUN,A NEGOCIO,30,181,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,30181,30,181,Tlalixcoyan
640,2017,14110,JALISCO,UNION DE TULA,ROBO COMUN,A NEGOCIO,14,110,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,8.0,14110,14,110,Unión de Tula
2115,2017,30034,VERACRUZ,CERRO AZUL,ROBO COMUN,A NEGOCIO,30,34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,8.0,30034,30,34,Cerro Azul
609,2017,14079,JALISCO,GOMEZ FARIAS,ROBO COMUN,A NEGOCIO,14,79,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,14079,14,79,Gómez Farías
38,2017,5007,COAHUILA,CUATRO CIENEGAS,ROBO COMUN,A NEGOCIO,5,7,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,7.0,05007,5,7,Cuatro Ciénegas
596,2017,14066,JALISCO,PONCITLAN,ROBO COMUN,A NEGOCIO,14,66,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,14066,14,66,Poncitlán
1999,2017,28021,TAMAULIPAS,EL MANTE,ROBO COMUN,A NEGOCIO,28,21,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,7.0,28021,28,21,El Mante
765,2017,15110,MEXICO,VALLE DE BRAVO,ROBO COMUN,A NEGOCIO,15,110,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,15110,15,110,Valle de Bravo
2447,2017,32048,ZACATECAS,TLALTENANGO DE SANCHEZ ROMAN,ROBO COMUN,A NEGOCIO,32,48,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,32048,32,48,Tlaltenango de Sánchez Román
2250,2017,30169,VERACRUZ,JOSE AZUETA,ROBO COMUN,A NEGOCIO,30,169,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,30169,30,169,José Azueta
1612,2017,21045,PUEBLA,CHALCHICOMULA DE SESMA,ROBO COMUN,A NEGOCIO,21,45,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,7.0,21045,21,45,Chalchicomula de Sesma
667,2017,15012,MEXICO,ATIZAPAN,ROBO COMUN,A NEGOCIO,15,12,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,7.0,15012,15,12,Atizapán
1335,2017,20338,OAXACA,VILLA DE ETLA,ROBO COMUN,A NEGOCIO,20,338,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,20338,20,338,Villa de Etla
